event_id,product_id,event_type,event_date,price_at_event,notes
1,1,listed,2022-06-28,525.0,Initial stock entry
2,1,price_reduced,2023-01-23,470.14,Seasonal markdown to 470.14E
3,1,rental_eligible,2023-06-28,525.0,Crossed 12-month threshold -- eligible for rental program
4,1,sold,2023-06-28,404.34,Final sale
5,2,listed,2024-05-09,735.0,Initial stock entry
6,2,sold,2025-01-23,426.26,Final sale
7,3,listed,2024-02-18,525.0,Initial stock entry
8,3,price_reduced,2024-08-29,423.05,Seasonal markdown to 423.05E
9,3,rental_eligible,2025-02-17,525.0,Crossed 12-month threshold -- eligible for rental program
10,3,sold,2025-02-08,299.89,Final sale
11,4,listed,2024-01-11,1515.0,Initial stock entry
12,4,price_reduced,2024-08-01,1138.77,Seasonal markdown to 1138.77E
13,4,rental_eligible,2025-01-10,1515.0,Crossed 12-month threshold -- eligible for rental program
14,4,rented_out,2025-02-09,1515.0,Assigned to rental program
15,5,listed,2024-01-18,1295.0,Initial stock entry
16,5,price_reduced,2024-11-13,966.15,Seasonal markdown to 966.15E
17,5,rental_eligible,2025-01-17,1295.0,Crossed 12-month threshold -- eligible for rental program
18,5,sold,2024-08-22,1084.41,Final sale
19,6,listed,2023-03-26,1135.0,Initial stock entry
20,6,price_reduced,2023-10-28,862.05,Seasonal markdown to 862.05E
21,6,rental_eligible,2024-03-25,1135.0,Crossed 12-month threshold -- eligible for rental program
22,6,sold,2024-10-17,998.02,Final sale
23,7,listed,2023-10-07,2225.0,Initial stock entry
24,7,rental_eligible,2024-10-06,2225.0,Crossed 12-month threshold -- eligible for rental program
25,8,listed,2024-03-28,1585.0,Initial stock entry
26,8,price_reduced,2025-01-20,1147.25,Seasonal markdown to 1147.25E
27,8,rental_eligible,2025-03-28,1585.0,Crossed 12-month threshold -- eligible for rental program
28,8,sold,2025-02-18,1085.92,Final sale
29,9,listed,2024-05-14,2040.0,Initial stock entry
30,9,sold,2025-04-01,1543.79,Final sale
31,10,listed,2023-11-28,1950.0,Initial stock entry
32,10,price_reduced,2024-10-27,1444.24,Seasonal markdown to 1444.24E
33,10,rental_eligible,2024-11-27,1950.0,Crossed 12-month threshold -- eligible for rental program
34,10,sold,2024-06-15,1275.53,Final sale
35,11,listed,2023-09-04,2215.0,Initial stock entry
36,11,rental_eligible,2024-09-03,2215.0,Crossed 12-month threshold -- eligible for rental program
37,11,sold,2023-11-04,1439.77,Final sale
38,12,listed,2022-08-18,1375.0,Initial stock entry
39,12,price_reduced,2023-04-10,1078.35,Seasonal markdown to 1078.35E
40,12,rental_eligible,2023-08-18,1375.0,Crossed 12-month threshold -- eligible for rental program
41,12,sold,2025-02-27,1243.53,Final sale
42,13,listed,2024-08-31,580.0,Initial stock entry
43,13,sold,2024-11-30,534.46,Final sale
44,14,listed,2024-06-16,1730.0,Initial stock entry
45,14,sold,2024-10-17,1284.02,Final sale
46,15,listed,2022-01-15,1595.0,Initial stock entry
47,15,price_reduced,2022-11-12,1277.92,Seasonal markdown to 1277.92E
48,15,rental_eligible,2023-01-15,1595.0,Crossed 12-month threshold -- eligible for rental program
49,15,sold,2023-02-07,1460.12,Final sale
50,16,listed,2023-03-15,1770.0,Initial stock entry
51,16,rental_eligible,2024-03-14,1770.0,Crossed 12-month threshold -- eligible for rental program
52,16,sold,2024-04-09,1606.24,Final sale
53,17,listed,2024-04-21,1080.0,Initial stock entry
54,17,sold,2025-01-19,689.4,Final sale
55,18,listed,2024-07-07,715.0,Initial stock entry
56,18,price_reduced,2025-02-27,526.81,Seasonal markdown to 526.81E
57,18,sold,2025-01-28,413.39,Final sale
58,19,listed,2022-01-31,1735.0,Initial stock entry
59,19,price_reduced,2022-11-20,1454.45,Seasonal markdown to 1454.45E
60,19,rental_eligible,2023-01-31,1735.0,Crossed 12-month threshold -- eligible for rental program
61,19,sold,2024-06-15,1209.33,Final sale
62,20,listed,2024-03-10,1135.0,Initial stock entry
63,20,rental_eligible,2025-03-10,1135.0,Crossed 12-month threshold -- eligible for rental program
64,20,sold,2024-09-23,996.56,Final sale
65,21,listed,2022-05-05,1575.0,Initial stock entry
66,21,rental_eligible,2023-05-05,1575.0,Crossed 12-month threshold -- eligible for rental program
67,21,sold,2022-09-14,938.21,Final sale
68,22,listed,2023-04-27,1610.0,Initial stock entry
69,22,rental_eligible,2024-04-26,1610.0,Crossed 12-month threshold -- eligible for rental program
70,22,sold,2023-09-13,1143.6,Final sale
71,23,listed,2023-02-23,2355.0,Initial stock entry
72,23,rental_eligible,2024-02-23,2355.0,Crossed 12-month threshold -- eligible for rental program
73,23,sold,2023-10-03,1605.27,Final sale
74,24,listed,2022-07-24,320.0,Initial stock entry
75,24,rental_eligible,2023-07-24,320.0,Crossed 12-month threshold -- eligible for rental program
76,24,sold,2024-01-13,188.62,Final sale
77,25,listed,2023-09-12,645.0,Initial stock entry
78,25,rental_eligible,2024-09-11,645.0,Crossed 12-month threshold -- eligible for rental program
79,25,sold,2024-11-02,625.7,Final sale
80,26,listed,2022-11-15,1930.0,Initial stock entry
81,26,rental_eligible,2023-11-15,1930.0,Crossed 12-month threshold -- eligible for rental program
82,26,sold,2024-01-26,1572.92,Final sale
83,27,listed,2024-05-17,500.0,Initial stock entry
84,27,price_reduced,2024-12-22,372.45,Seasonal markdown to 372.45E
85,27,sold,2025-01-04,305.72,Final sale
86,28,listed,2022-08-18,1535.0,Initial stock entry
87,28,rental_eligible,2023-08-18,1535.0,Crossed 12-month threshold -- eligible for rental program
88,28,sold,2023-06-07,1458.09,Final sale
89,29,listed,2022-03-23,975.0,Initial stock entry
90,29,rental_eligible,2023-03-23,975.0,Crossed 12-month threshold -- eligible for rental program
91,29,sold,2024-09-18,651.2,Final sale
92,30,listed,2023-04-30,2335.0,Initial stock entry
93,30,rental_eligible,2024-04-29,2335.0,Crossed 12-month threshold -- eligible for rental program
94,30,sold,2023-07-22,1924.78,Final sale
95,31,listed,2022-03-21,535.0,Initial stock entry
96,31,rental_eligible,2023-03-21,535.0,Crossed 12-month threshold -- eligible for rental program
97,31,sold,2022-06-18,460.25,Final sale
98,32,listed,2023-07-25,1175.0,Initial stock entry
99,32,price_reduced,2024-06-05,962.46,Seasonal markdown to 962.46E
100,32,rental_eligible,2024-07-24,1175.0,Crossed 12-month threshold -- eligible for rental program
101,33,listed,2023-06-28,2415.0,Initial stock entry
102,33,price_reduced,2024-02-21,1969.4,Seasonal markdown to 1969.4E
103,33,rental_eligible,2024-06-27,2415.0,Crossed 12-month threshold -- eligible for rental program
104,33,sold,2025-01-22,2312.76,Final sale
105,34,listed,2024-06-12,860.0,Initial stock entry
106,34,sold,2025-01-02,536.36,Final sale
107,35,listed,2022-09-13,1760.0,Initial stock entry
