category_id,category_name,depreciation_class,avg_depreciation_rate,rental_demand_tier,rental_programme
1,Smartphones,fast,0.22,high,True
2,Laptops,fast,0.18,high,True
3,Tablets,fast,0.16,medium,True
4,Wearables,fast,0.2,low,False
5,Drones,standard,0.14,high,True
6,Audio,standard,0.1,medium,True
7,Gaming,standard,0.12,high,True
8,Cameras,standard,0.11,high,True
9,TVs,slow,0.07,low,True
10,Appliances,slow,0.06,low,True
11,Keyboards,slow,0.05,low,False
12,Monitors,slow,0.08,low,False
13,Networking,standard,0.09,low,False
14,Peripherals,slow,0.05,low,False
15,Musical Instruments,slow,0.05,high,True
