event_id,product_id,event_type,event_date,notes
1,1,rental_start,2024-12-30,rental_id=1
2,2,rental_start,2022-11-13,rental_id=2
3,2,rental_start,2022-12-05,rental_id=3
4,2,rental_start,2022-12-29,rental_id=4
5,2,rental_start,2023-02-08,rental_id=5
6,3,rental_start,2024-01-06,rental_id=6
7,3,rental_start,2024-01-31,rental_id=7
8,3,rental_start,2024-02-16,rental_id=8
9,4,rental_start,2024-10-19,rental_id=9
10,4,rental_start,2024-11-15,rental_id=10
11,6,rental_start,2024-11-02,rental_id=11
12,6,rental_start,2024-11-19,rental_id=12
13,6,rental_start,2024-12-14,rental_id=13
14,7,rental_start,2022-12-25,rental_id=14
15,7,rental_start,2023-01-26,rental_id=15
16,7,rental_start,2023-03-09,rental_id=16
17,7,rental_start,2023-03-30,rental_id=17
18,7,rental_start,2023-04-27,rental_id=18
19,7,rental_start,2023-06-16,rental_id=19
20,8,rental_start,2024-12-26,rental_id=20
21,9,rental_start,2021-05-03,rental_id=21
22,9,rental_start,2021-07-02,rental_id=22
23,11,rental_start,2022-12-15,rental_id=23
24,11,rental_start,2022-12-30,rental_id=24
25,11,rental_start,2023-01-20,rental_id=25
26,11,rental_start,2023-02-10,rental_id=26
27,12,rental_start,2024-11-29,rental_id=27
28,13,rental_start,2024-07-02,rental_id=28
29,13,rental_start,2024-09-10,rental_id=29
30,13,rental_start,2024-10-07,rental_id=30
31,13,rental_start,2024-11-04,rental_id=31
32,14,rental_start,2024-08-17,rental_id=32
33,14,rental_start,2024-09-16,rental_id=33
34,14,rental_start,2024-10-23,rental_id=34
35,14,rental_start,2024-12-01,rental_id=35
36,16,rental_start,2024-07-17,rental_id=36
37,16,rental_start,2024-09-22,rental_id=37
38,16,rental_start,2024-10-21,rental_id=38
39,17,rental_start,2024-04-18,rental_id=39
40,17,rental_start,2024-05-19,rental_id=40
41,19,rental_start,2024-08-03,rental_id=41
42,19,rental_start,2024-08-24,rental_id=42
43,19,rental_start,2024-09-14,rental_id=43
44,19,rental_start,2024-10-21,rental_id=44
45,19,rental_start,2024-11-09,rental_id=45
46,22,rental_start,2024-12-20,rental_id=46
47,24,rental_start,2023-01-17,rental_id=47
48,24,rental_start,2023-02-25,rental_id=48
49,24,rental_start,2023-03-14,rental_id=49
50,25,rental_start,2024-11-22,rental_id=50
51,25,rental_start,2024-12-28,rental_id=51
52,26,rental_start,2023-10-02,rental_id=52
53,26,rental_start,2023-11-02,rental_id=53
54,26,rental_start,2023-11-23,rental_id=54
55,26,rental_start,2023-12-13,rental_id=55
56,26,rental_start,2023-12-27,rental_id=56
57,28,rental_start,2022-05-20,rental_id=57
58,28,rental_start,2022-06-20,rental_id=58
59,28,rental_start,2022-07-14,rental_id=59
60,28,rental_start,2022-09-13,rental_id=60
61,30,rental_start,2024-05-16,rental_id=61
62,30,rental_start,2024-06-25,rental_id=62
63,30,rental_start,2024-08-01,rental_id=63
64,31,rental_start,2024-12-15,rental_id=64
65,32,rental_start,2023-01-03,rental_id=65
66,32,rental_start,2023-01-30,rental_id=66
67,32,rental_start,2023-03-06,rental_id=67
68,32,rental_start,2023-03-24,rental_id=68
69,32,rental_start,2023-04-17,rental_id=69
70,34,rental_start,2022-11-22,rental_id=70
71,34,rental_start,2022-12-24,rental_id=71
72,34,rental_start,2023-01-19,rental_id=72
73,34,rental_start,2023-03-08,rental_id=73
74,35,rental_start,2024-05-26,rental_id=74
75,35,rental_start,2024-06-27,rental_id=75
76,35,rental_start,2024-08-14,rental_id=76
77,35,rental_start,2024-09-18,rental_id=77
78,35,rental_start,2024-10-29,rental_id=78
79,36,rental_start,2024-05-07,rental_id=79
80,36,rental_start,2024-05-23,rental_id=80
81,36,rental_start,2024-06-08,rental_id=81
82,36,rental_start,2024-06-27,rental_id=82
83,36,rental_start,2024-08-08,rental_id=83
84,37,rental_start,2021-07-28,rental_id=84
85,37,rental_start,2021-09-15,rental_id=85
86,37,rental_start,2021-10-23,rental_id=86
87,38,rental_start,2024-10-27,rental_id=87
88,38,rental_start,2024-11-17,rental_id=88
89,39,rental_start,2022-09-09,rental_id=89
90,39,rental_start,2022-10-09,rental_id=90
91,39,rental_start,2022-11-01,rental_id=91
92,39,rental_start,2022-11-21,rental_id=92
93,39,rental_start,2022-12-22,rental_id=93
94,39,rental_start,2023-01-11,rental_id=94
95,39,rental_start,2023-01-28,rental_id=95
96,42,rental_start,2024-09-03,rental_id=96
97,42,rental_start,2024-09-24,rental_id=97
98,42,rental_start,2024-11-30,rental_id=98
99,43,rental_start,2024-10-20,rental_id=99
100,43,rental_start,2024-11-28,rental_id=100
101,43,rental_start,2024-12-12,rental_id=101
102,44,rental_start,2024-07-01,rental_id=102
103,44,rental_start,2024-07-27,rental_id=103
104,44,rental_start,2024-08-27,rental_id=104
105,44,rental_start,2024-09-26,rental_id=105
106,44,rental_start,2024-10-29,rental_id=106
107,44,rental_start,2024-11-22,rental_id=107
108,45,rental_start,2022-06-24,rental_id=108
109,45,rental_start,2022-08-04,rental_id=109
110,45,rental_start,2022-09-06,rental_id=110
111,45,rental_start,2022-09-25,rental_id=111
112,45,rental_start,2022-10-14,rental_id=112
113,45,rental_start,2022-11-04,rental_id=113
114,46,rental_start,2021-12-19,rental_id=114
115,46,rental_start,2022-01-02,rental_id=115
116,46,rental_start,2022-03-07,rental_id=116
117,46,rental_start,2022-04-21,rental_id=117
118,46,rental_start,2022-05-17,rental_id=118
119,46,rental_start,2022-06-07,rental_id=119
120,47,rental_start,2022-10-29,rental_id=120
121,47,rental_start,2022-12-12,rental_id=121
122,48,rental_start,2022-09-10,rental_id=122
123,48,rental_start,2022-10-13,rental_id=123
124,48,rental_start,2022-11-20,rental_id=124
125,48,rental_start,2022-12-18,rental_id=125
126,49,rental_start,2021-05-24,rental_id=126
127,49,rental_start,2021-06-19,rental_id=127
128,49,rental_start,2021-07-29,rental_id=128
129,49,rental_start,2021-08-26,rental_id=129
130,50,rental_start,2024-12-12,rental_id=130
131,51,rental_start,2024-11-08,rental_id=131
132,52,rental_start,2024-08-04,rental_id=132
133,52,rental_start,2024-08-27,rental_id=133
134,52,rental_start,2024-09-28,rental_id=134
135,52,rental_start,2024-10-22,rental_id=135
136,53,rental_start,2024-07-28,rental_id=136
137,53,rental_start,2024-08-20,rental_id=137
138,53,rental_start,2024-09-28,rental_id=138
139,53,rental_start,2024-10-29,rental_id=139
140,58,rental_start,2024-09-14,rental_id=140
141,58,rental_start,2024-10-12,rental_id=141
142,58,rental_start,2024-11-09,rental_id=142
143,58,rental_start,2024-12-06,rental_id=143
144,58,rental_start,2024-12-27,rental_id=144
145,61,rental_start,2022-11-28,rental_id=145
146,61,rental_start,2022-12-19,rental_id=146
147,61,rental_start,2023-01-15,rental_id=147
148,62,rental_start,2024-04-24,rental_id=148
149,62,rental_start,2024-05-13,rental_id=149
150,62,rental_start,2024-05-25,rental_id=150
151,62,rental_start,2024-06-24,rental_id=151
152,62,rental_start,2024-07-30,rental_id=152
153,63,rental_start,2024-09-09,rental_id=153
154,63,rental_start,2024-09-22,rental_id=154
155,64,rental_start,2024-05-20,rental_id=155
156,64,rental_start,2024-06-15,rental_id=156
157,64,rental_start,2024-07-08,rental_id=157
158,66,rental_start,2024-06-01,rental_id=158
159,66,rental_start,2024-07-11,rental_id=159
160,66,rental_start,2024-08-05,rental_id=160
161,66,rental_start,2024-08-21,rental_id=161
162,67,rental_start,2022-05-04,rental_id=162
163,67,rental_start,2022-05-29,rental_id=163
164,67,rental_start,2022-08-30,rental_id=164
