product_id,category_id,product_name,brand,original_retail_price,current_depreciated_value,condition_grade,listed_date,rental_eligible_date,retailer,is_active
1,1,Apple Smartphone Pro,Xiaomi,308.54,136.81,A,2022-07-18,2023-05-14,FNAC Portugal,1
2,1,Samsung Smartphone Lite,Samsung,838.61,713.74,A,2024-04-19,2025-02-13,Amazon ES,1
3,1,Apple Smartphone Ultra,Apple,332.36,153.69,C,2022-09-24,2023-07-21,Amazon ES,1
4,1,OnePlus Smartphone X,Xiaomi,158.26,90.67,A,2023-02-10,2023-12-07,Amazon ES,1
5,1,Samsung Smartphone Plus,Apple,97.15,72.47,A,2023-10-03,2024-07-29,FNAC Portugal,1
6,1,Apple Smartphone Lite,Samsung,1099.81,434.88,A,2022-02-14,2022-12-11,FNAC Portugal,1
7,1,OnePlus Smartphone,Xiaomi,114.07,75.76,A,2023-06-02,2024-03-28,FNAC Portugal,1
8,1,Xiaomi Smartphone Pro,Apple,133.72,67.72,A,2022-09-12,2023-07-09,FNAC Portugal,1
9,1,OnePlus Smartphone Max,OnePlus,141.43,114.07,B,2024-02-13,2024-12-09,FNAC Portugal,1
10,1,Xiaomi Smartphone,OnePlus,296.86,250.0,B,2024-03-13,2025-01-07,FNAC Portugal,1
11,1,OnePlus Smartphone Pro,Apple,216.31,40.41,A,2021-07-06,2022-05-02,FNAC Portugal,1
12,1,Xiaomi Smartphone SE,OnePlus,175.66,130.77,B,2023-09-11,2024-07-07,Amazon ES,1
13,1,OnePlus Smartphone,Xiaomi,711.72,616.15,C,2024-04-24,2025-02-18,FNAC Portugal,1
14,1,OnePlus Smartphone Max,Apple,1722.76,1248.54,B,2023-07-31,2024-05-26,FNAC Portugal,1
15,1,OnePlus Smartphone,OnePlus,419.49,222.55,B,2022-09-17,2023-07-14,Amazon ES,1
16,1,Samsung Smartphone X,Xiaomi,417.02,218.56,C,2022-08-04,2023-05-31,Amazon ES,1
17,1,OnePlus Smartphone Max,Apple,401.05,219.51,A,2022-09-21,2023-07-18,Amazon ES,1
18,1,OnePlus Smartphone Lite,Apple,581.23,444.83,A,2023-12-24,2024-10-19,Amazon ES,1
19,1,Samsung Smartphone Lite,Samsung,1268.16,860.78,A,2023-07-28,2024-05-23,FNAC Portugal,1
20,1,Samsung Smartphone Ultra,Samsung,763.95,498.6,C,2023-04-19,2024-02-13,Amazon ES,1
21,1,OnePlus Smartphone Plus,Samsung,400.61,297.41,A,2023-10-18,2024-08-13,Amazon ES,1
22,1,Samsung Smartphone Max,Xiaomi,1778.21,1411.57,A,2024-02-15,2024-12-11,FNAC Portugal,1
23,1,Xiaomi Smartphone,OnePlus,508.0,50.8,A,2021-01-19,2021-11-15,Amazon ES,1
24,1,Samsung Smartphone X,Samsung,216.43,119.1,B,2023-04-02,2024-01-27,Amazon ES,1
