product_id,original_retail_price,months_at_enrollment,months_unsold_at_comparison,discount_pct,hypothetical_discount_price,total_gross_rental_revenue,total_operational_cost,total_net_rental_revenue,n_rentals,months_on_rental,rental_vs_discount_ratio,is_rental_more_profitable
1,408.54,9.9,9.9,0.4,245.12,47.62,4.52,43.1,1,0.23,0.1758,0
2,1508.9,9.9,35.9,0.7,452.67,1124.12,207.4,846.25,6,2.53,1.8695,1
3,737.02,9.9,22.6,0.5,368.51,116.11,22.49,93.62,2,0.46,0.2541,0
4,591.84,9.9,13.4,0.4,355.1,191.25,35.72,155.53,3,0.92,0.438,0
5,980.64,9.9,9.1,0.4,588.38,0.0,0.0,0.0,0,0.0,0.0,0
6,425.74,9.9,13.1,0.4,255.44,236.4,47.91,188.49,3,1.15,0.7379,0
7,330.79,9.9,34.1,0.7,99.24,32.06,5.48,26.58,1,0.23,0.2678,0
8,622.98,9.9,10.1,0.4,373.79,45.76,7.28,38.48,1,0.23,0.1029,0
9,1130.37,9.9,41.9,0.75,282.59,1446.37,298.3,1148.07,8,4.27,4.0627,1
10,507.52,9.9,19.6,0.5,253.76,272.69,54.36,218.33,6,1.84,0.8604,0
11,420.35,9.9,35.5,0.7,126.11,515.47,110.05,405.42,5,2.83,3.2148,1
12,357.96,9.9,12.2,0.4,214.78,51.45,9.41,42.04,2,0.46,0.1957,0
13,591.29,9.9,16.4,0.4,354.77,389.24,68.91,320.33,5,2.07,0.9029,0
14,156.12,9.9,15.9,0.4,93.67,326.95,63.94,263.01,4,1.61,2.8078,1
15,369.75,9.9,19.3,0.5,184.88,654.36,114.56,539.8,4,2.53,2.9197,1
16,626.89,9.9,17.6,0.4,376.13,215.42,34.15,181.27,3,0.92,0.4819,0
17,1016.55,9.9,31.8,0.7,304.97,862.52,166.48,696.04,5,2.76,2.2823,1
18,174.24,9.9,8.4,0.4,104.54,0.0,0.0,0.0,0,0.0,0.0,0
19,174.12,9.9,15.7,0.4,104.47,496.63,97.02,399.61,4,2.3,3.8251,1
20,1024.82,9.9,8.1,0.4,614.89,0.0,0.0,0.0,0,0.0,0.0,0
21,397.6,9.9,9.7,0.4,238.56,0.0,0.0,0.0,0,0.0,0.0,0
22,378.1,9.9,20.6,0.5,189.05,473.9,74.73,399.17,4,2.89,2.1115,1
23,1176.96,9.9,9.8,0.4,706.18,0.0,0.0,0.0,0,0.0,0.0,0
24,640.45,9.9,34.0,0.7,192.14,404.5,78.75,325.75,5,1.84,1.6954,1
25,338.87,9.9,12.1,0.4,203.32,263.59,56.08,207.51,2,1.15,1.0206,1
26,879.75,9.9,26.3,0.6,351.9,527.1,91.56,435.54,4,2.37,1.2377,1
27,500.61,9.9,8.1,0.4,300.37,0.0,0.0,0.0,0,0.0,0.0,0
28,236.74,9.9,42.4,0.75,59.19,580.94,105.05,475.89,7,3.58,8.04,1
29,155.6,9.9,9.9,0.4,93.36,0.0,0.0,0.0,0,0.0,0.0,0
30,157.75,9.9,17.5,0.4,94.65,318.36,60.97,257.39,3,1.15,2.7194,1
31,429.18,9.9,10.4,0.4,257.51,0.0,0.0,0.0,0,0.0,0.0,0
32,463.58,9.9,34.1,0.7,139.07,1007.89,198.98,808.91,6,4.8,5.8166,1
33,411.97,9.9,7.6,0.4,247.18,0.0,0.0,0.0,0,0.0,0.0,0
34,707.2,9.9,35.4,0.7,212.16,489.98,81.11,408.87,6,2.99,1.9272,1
35,339.13,9.9,18.3,0.5,169.56,444.09,96.12,347.97,3,2.14,2.0522,1
36,206.19,9.9,18.0,0.4,123.71,202.34,36.21,166.13,2,1.45,1.3429,1
37,246.36,9.9,41.0,0.75,61.59,364.01,73.72,290.29,4,2.6,4.7133,1
38,676.59,9.9,12.5,0.4,405.95,100.83,19.19,81.64,2,0.46,0.2011,0
39,152.73,9.9,39.8,0.75,38.18,684.37,118.57,565.8,5,2.83,14.8193,1
40,347.27,9.9,16.5,0.4,208.36,533.53,119.25,414.28,4,2.83,1.9883,1
41,370.98,9.9,7.2,0.4,222.59,0.0,0.0,0.0,0,0.0,0.0,0
42,1129.21,9.9,15.0,0.4,677.53,803.42,147.41,656.01,5,2.53,0.9682,0
43,630.58,9.9,25.3,0.6,252.23,633.2,118.21,514.99,6,3.06,2.0417,1
44,417.28,9.9,27.9,0.6,166.91,336.69,62.68,274.01,5,2.3,1.6417,1
45,224.16,9.9,41.4,0.75,56.04,306.44,55.11,251.33,5,2.76,4.4848,1
46,1009.11,9.9,35.0,0.7,302.73,906.39,165.53,740.86,5,2.83,2.4473,1
47,740.67,9.9,36.1,0.75,185.17,627.33,134.88,492.45,7,2.99,2.6594,1
48,888.13,9.9,38.7,0.75,222.03,545.15,102.78,442.37,4,1.84,1.9924,1
49,223.89,9.9,42.3,0.75,55.97,235.0,45.4,189.6,2,1.15,3.3875,1
50,414.28,9.9,10.7,0.4,248.57,39.8,6.73,33.07,1,0.23,0.133,0
51,283.67,9.9,12.1,0.4,170.2,228.35,44.96,183.39,2,0.92,1.0775,1
52,481.82,9.9,17.0,0.4,289.09,219.92,37.61,182.31,3,1.68,0.6306,0
53,1556.11,9.9,16.6,0.4,933.67,999.01,202.86,796.15,5,2.89,0.8527,0
54,296.16,9.9,7.9,0.4,177.7,0.0,0.0,0.0,0,0.0,0.0,0
55,365.05,9.9,7.1,0.4,219.03,0.0,0.0,0.0,0,0.0,0.0,0
56,206.47,9.9,6.1,0.4,123.88,0.0,0.0,0.0,0,0.0,0.0,0
57,1536.85,9.9,9.2,0.4,922.11,0.0,0.0,0.0,0,0.0,0.0,0
58,1598.65,9.9,14.8,0.4,959.19,642.33,131.19,511.14,5,1.38,0.5329,0
59,351.66,9.9,8.4,0.4,211.0,0.0,0.0,0.0,0,0.0,0.0,0
60,508.12,9.9,8.9,0.4,304.87,0.0,0.0,0.0,0,0.0,0.0,0
61,1582.44,9.9,35.6,0.7,474.73,469.43,85.83,383.6,4,1.15,0.808,0
62,605.18,9.9,19.3,0.5,302.59,478.35,88.29,390.06,5,2.76,1.2891,1
63,1191.83,9.9,16.5,0.4,715.1,703.35,163.05,540.3,4,2.37,0.7556,0
64,673.89,9.9,29.5,0.6,269.56,488.78,94.94,393.84,4,2.37,1.461,1
65,1005.83,9.9,8.9,0.4,603.5,0.0,0.0,0.0,0,0.0,0.0,0
66,815.9,9.9,17.6,0.4,489.54,710.74,157.16,553.58,5,2.83,1.1308,1
67,960.79,9.9,42.2,0.75,240.2,1127.67,208.64,919.03,6,3.81,3.8261,1
68,1359.16,9.9,12.2,0.4,815.5,288.63,63.89,224.74,2,0.69,0.2756,0
