rental_id,product_id,customer_id,pricing_rule_id,rental_start_date,rental_end_date,expected_return_date,actual_return_date,rental_duration_days,base_rental_revenue,late_fee,insurance_fee,total_rental_revenue,operational_cost,net_rental_revenue,is_no_return,is_damaged_beyond_repair,is_late
1,2,1165,10,2023-01-07,2023-01-14,2023-01-14,2023-01-14,7,104.57,0.0,2.72,107.29,23.11,84.18,0,0,0
2,2,944,6,2023-01-22,2023-02-05,2023-02-05,2023-02-05,14,140.98,0.0,2.96,143.94,31.72,112.22,0,0,0
3,2,1681,6,2023-02-25,2023-03-04,2023-03-04,2023-03-04,7,70.49,0.0,1.48,71.97,16.21,55.76,0,0,0
4,2,1161,4,2023-04-04,2023-04-25,2023-04-25,2023-04-25,21,97.65,0.0,2.83,100.48,21.09,79.39,0,0,0
5,3,1984,7,2024-03-07,2024-03-21,2024-03-21,2024-03-21,14,92.86,0.0,4.55,97.41,22.66,74.75,0,0,0
6,3,1250,7,2024-03-30,2024-04-29,2024-04-29,2024-04-29,30,199.0,0.0,9.75,208.75,40.79,167.96,0,0,0
7,3,1244,11,2024-05-04,2024-05-18,2024-05-18,2024-05-18,14,131.04,0.0,4.98,136.02,29.48,106.54,0,0,0
8,3,677,9,2024-05-31,2024-06-14,2024-06-14,,14,113.5,0.0,3.18,116.68,27.35,89.33,1,0,0
9,3,1147,12,2024-07-22,2024-08-21,2024-08-21,2024-08-21,30,187.94,0.0,5.64,193.58,32.7,160.88,0,0,0
10,4,1908,12,2024-11-23,2024-11-30,2024-11-30,2024-11-30,7,37.37,0.0,1.12,38.49,8.78,29.71,0,0,0
11,6,176,9,2024-12-12,2024-12-26,2024-12-29,2024-12-29,14,74.77,6.63,2.09,83.49,17.8,65.69,0,0,1
12,7,1800,10,2023-03-28,2023-04-18,2023-04-18,2023-04-18,21,68.77,0.0,1.79,70.56,10.45,60.11,0,0,0
13,7,585,3,2023-05-02,2023-05-16,2023-05-16,2023-05-16,14,44.66,0.0,1.12,45.78,7.1,38.68,0,0,0
14,7,284,8,2023-05-22,2023-06-12,2023-06-12,2023-06-12,21,68.08,0.0,2.25,70.33,16.34,53.99,0,0,0
15,9,209,9,2021-07-21,2021-08-11,2021-08-11,2021-08-11,21,261.12,0.0,7.31,268.43,63.71,204.72,0,0,0
16,9,1179,10,2021-08-16,2021-08-30,2021-08-30,2021-08-30,14,156.67,0.0,4.07,160.74,26.32,134.42,0,0,0
17,9,1872,5,2021-09-04,2021-09-25,2021-09-25,2021-09-25,21,178.71,0.0,6.08,184.79,32.7,152.09,0,0,0
18,9,900,2,2021-10-08,2021-11-07,2021-11-07,2021-11-07,30,132.0,0.0,5.41,137.41,25.34,112.07,0,0,0
19,9,1319,11,2021-11-14,2021-11-21,2021-11-21,2021-11-21,7,109.5,0.0,4.16,113.66,24.97,88.69,0,0,0
20,9,574,6,2021-12-04,2021-12-11,2021-12-11,2021-12-11,7,78.31,0.0,1.64,79.95,18.79,61.16,0,0,0
21,11,1710,11,2023-02-19,2023-03-05,2023-03-05,,14,74.74,0.0,2.84,77.58,13.9,63.68,1,1,0
22,11,1991,4,2023-03-10,2023-03-31,2023-03-31,2023-03-31,21,97.65,0.0,2.83,100.48,20.8,79.68,0,0,0
23,11,99,1,2023-04-11,2023-05-11,2023-05-11,2023-05-11,30,191.1,0.0,4.78,195.88,38.22,157.66,0,0,0
24,11,1281,5,2023-05-16,2023-06-06,2023-06-06,2023-06-06,21,178.71,0.0,6.08,184.79,32.88,151.91,0,0,0
25,11,271,6,2023-06-17,2023-07-01,2023-07-01,2023-07-01,14,140.98,0.0,2.96,143.94,24.95,118.99,0,0,0
26,11,1355,8,2023-07-08,2023-07-15,2023-07-15,2023-07-15,7,28.84,0.0,0.95,29.79,5.42,24.37,0,0,0
27,12,623,9,2024-12-27,2025-01-17,2025-01-17,,21,93.98,0.0,2.63,96.61,22.09,74.52,1,0,0
28,13,1836,8,2024-09-07,2024-09-21,2024-09-21,2024-09-21,14,81.12,0.0,2.68,83.8,19.55,64.25,0,0,0
29,13,639,3,2024-10-22,2024-11-05,2024-11-05,2024-11-05,14,44.66,0.0,1.12,45.78,10.54,35.24,0,0,0
30,13,546,11,2024-11-12,2024-11-26,2024-11-26,2024-11-26,14,119.21,0.0,4.53,123.74,22.17,101.57,0,0,0
31,14,8,4,2024-10-18,2024-11-01,2024-11-01,2024-11-01,14,65.1,0.0,1.89,66.99,9.96,57.03,0,0,0
32,14,1975,1,2024-11-10,2024-11-17,2024-11-17,2024-11-17,7,47.33,0.0,1.18,48.51,9.32,39.19,0,0,0
33,14,578,6,2024-11-28,2024-12-19,2024-12-19,2024-12-19,21,222.17,0.0,4.67,226.84,49.32,177.52,0,0,0
34,16,1299,12,2024-08-02,2024-08-09,2024-08-09,2024-08-09,7,37.3,0.0,1.12,38.42,8.06,30.36,0,0,0
35,16,1932,9,2024-10-07,2024-10-21,2024-10-21,2024-10-21,14,96.54,0.0,2.7,99.24,15.45,83.79,0,0,0
36,16,813,7,2024-10-27,2024-11-26,2024-12-01,2024-12-01,30,169.26,11.95,8.29,189.5,34.19,155.31,0,0,1
37,17,1903,10,2024-05-15,2024-06-05,2024-06-05,2024-06-05,21,211.34,0.0,5.49,216.83,40.58,176.25,0,0,0
38,17,1102,10,2024-06-10,2024-07-10,2024-07-10,2024-07-10,30,301.92,0.0,7.85,309.77,56.16,253.61,0,0,0
39,17,788,12,2024-08-06,2024-08-13,2024-08-13,2024-08-13,7,60.48,0.0,1.81,62.29,12.64,49.65,0,0,0
40,17,909,5,2024-09-20,2024-09-27,2024-10-04,2024-10-04,7,59.57,26.25,2.03,87.85,10.19,77.66,0,0,1
41,19,974,4,2024-09-19,2024-10-10,2024-10-10,2024-10-10,21,97.65,0.0,2.83,100.48,15.43,85.05,0,0,0
42,19,548,6,2024-10-15,2024-11-05,2024-11-05,2024-11-05,21,211.47,0.0,4.44,215.91,43.35,172.56,0,0,0
43,19,76,4,2024-11-16,2024-11-23,2024-11-23,2024-11-23,7,34.5,0.0,1.0,35.5,6.11,29.39,0,0,0
44,24,1261,7,2023-03-25,2023-04-08,2023-04-08,2023-04-08,14,80.7,0.0,3.95,84.65,18.08,66.57,0,0,0
45,24,1381,8,2023-04-20,2023-05-04,2023-05-04,2023-05-04,14,87.87,0.0,2.9,90.77,13.44,77.33,0,0,0
46,24,1342,11,2023-07-14,2023-07-28,2023-07-28,2023-07-28,14,113.87,0.0,4.33,118.2,27.78,90.42,0,0,0
47,25,1252,4,2024-12-27,2025-01-03,2025-01-03,2025-01-03,7,36.66,0.0,1.06,37.72,6.2,31.52,0,0,0
48,26,1223,6,2023-11-12,2023-11-19,2023-11-19,2023-11-19,7,76.16,0.0,1.6,77.76,11.42,66.34,0,0,0
49,26,505,8,2023-12-02,2023-12-16,2023-12-16,2023-12-16,14,130.7,0.0,4.31,135.01,25.75,109.26,0,0,0
50,26,906,2,2023-12-25,2024-01-15,2024-01-16,2024-01-16,21,103.69,7.2,4.25,115.14,20.95,94.19,0,0,1
51,26,353,8,2024-03-21,2024-04-20,2024-04-20,2024-04-20,30,258.65,0.0,8.54,267.19,44.75,222.44,0,0,0
52,26,259,12,2024-04-25,2024-05-09,2024-05-09,2024-05-09,14,104.69,0.0,3.14,107.83,21.04,86.79,0,0,0
53,28,812,11,2022-08-06,2022-08-27,2022-08-27,2022-08-27,21,63.14,0.0,2.4,65.54,12.56,52.98,0,0,0
54,28,810,2,2022-09-06,2022-10-06,2022-10-06,2022-10-06,30,132.0,0.0,5.41,137.41,19.8,117.61,0,0,0
