rental_id,product_id,customer_id,rental_start,rental_due,rental_returned,daily_rate_eur,deposit_eur,days_held,total_charged,status
1,790,526,2022-01-20,2022-02-08,2022-02-08,11.12,695.0,19,211.28,returned
2,1032,626,2022-02-14,2022-02-19,2022-02-24,15.44,712.5,10,179.4,returned
3,772,124,2022-02-22,2022-03-11,,2.14,133.75,90,1210.0,not_returned
4,487,237,2022-02-18,2022-03-02,2022-03-01,2.72,99.0,11,29.92,returned
5,1700,630,2022-02-23,2022-03-13,2022-03-12,0.43,21.75,17,7.31,returned
6,1700,307,2022-03-13,2022-03-27,2022-03-27,0.43,21.75,14,6.02,returned
7,1375,272,2022-02-25,2022-04-05,2022-04-05,1.52,65.25,39,59.28,returned
8,335,344,2022-02-14,2022-02-22,2022-02-22,1.26,63.0,8,10.08,returned
9,413,2,2022-02-24,2022-02-28,2022-02-28,6.66,333.0,4,26.64,returned
10,384,632,2022-02-23,2022-02-28,2022-02-26,2.13,106.5,3,6.39,returned
11,1527,37,2022-03-07,2022-03-21,2022-03-20,0.24,12.0,13,3.12,returned
12,511,388,2022-03-12,2022-03-24,2022-03-24,3.49,127.0,12,41.88,returned
13,1650,116,2022-03-25,2022-04-09,,0.69,34.5,90,680.0,not_returned
14,1166,781,2022-03-16,2022-03-22,2022-03-20,17.65,814.5,4,70.6,returned
15,259,102,2022-03-13,2022-04-03,2022-04-02,6.82,378.75,20,136.4,returned
16,1195,289,2022-03-24,2022-03-30,2022-03-28,4.42,204.0,4,17.68,returned
17,487,710,2022-03-02,2022-03-09,2022-03-11,2.72,99.0,9,39.48,returned
18,700,68,2022-03-03,2022-03-28,2022-04-07,6.7,418.75,35,309.5,returned
19,1054,524,2022-03-13,2022-03-22,2022-03-21,17.48,807.0,8,139.84,returned
20,19,453,2022-03-13,2022-03-25,2022-03-23,7.81,433.75,10,78.1,returned
21,1070,628,2022-03-12,2022-03-14,2022-03-26,16.05,741.0,14,284.7,returned
22,1639,480,2022-03-22,2022-03-27,2022-03-26,0.57,28.5,4,2.28,returned
23,1070,67,2022-04-24,2022-05-02,2022-05-02,16.05,741.0,8,128.4,returned
24,1070,37,2022-05-03,2022-05-11,2022-05-11,16.05,741.0,8,128.4,returned
25,1070,594,2022-05-12,2022-05-22,2022-05-21,16.05,741.0,9,144.45,returned
26,1538,361,2022-04-18,2022-05-01,2022-05-01,0.92,45.75,13,11.96,returned
27,1432,617,2022-04-01,2022-04-18,2022-04-18,1.4,60.0,17,23.8,returned
28,259,534,2022-04-03,2022-04-11,2022-04-11,6.82,378.75,8,54.56,returned
29,864,607,2022-04-27,2022-05-10,2022-05-09,4.16,260.0,12,49.92,returned
30,203,495,2022-04-10,2022-04-16,2022-04-15,1.89,105.0,5,9.45,returned
31,685,647,2022-04-12,2022-05-04,2022-05-02,6.26,391.25,20,125.2,returned
32,1325,247,2022-04-28,2022-05-22,2022-06-05,1.4,60.0,38,95.2,returned
33,335,686,2022-04-12,2022-04-19,2022-04-17,1.26,63.0,5,6.3,returned
34,335,415,2022-04-24,2022-04-27,2022-04-26,1.26,63.0,2,2.52,returned
35,335,502,2022-04-27,2022-04-30,2022-04-30,1.26,63.0,3,3.78,returned
36,335,41,2022-05-01,2022-05-07,2022-05-07,1.26,63.0,6,7.56,returned
37,718,393,2022-05-24,2022-06-15,2022-06-13,2.92,182.5,20,58.4,returned
38,884,616,2022-05-15,2022-06-09,2022-06-08,9.84,615.0,24,236.16,returned
39,979,147,2022-05-20,2022-06-15,,2.06,128.75,90,1190.0,not_returned
40,1818,399,2022-05-13,2022-05-16,2022-05-14,13.83,493.75,1,13.83,returned
41,846,448,2022-05-05,2022-05-23,2022-06-06,3.58,223.75,32,219.56,returned
42,183,728,2022-05-13,2022-05-27,2022-06-03,4.75,263.75,21,152.25,returned
43,635,479,2022-05-07,2022-05-21,2022-05-21,3.46,126.0,14,48.44,returned
44,511,678,2022-05-25,2022-06-07,2022-06-05,3.49,127.0,11,38.39,returned
45,511,693,2022-06-06,2022-06-10,2022-06-08,3.49,127.0,2,6.98,returned
46,1085,793,2022-05-26,2022-06-01,2022-06-01,8.68,400.5,6,52.08,returned
47,896,235,2022-05-06,2022-05-27,2022-05-27,11.18,698.75,21,234.78,returned
48,1058,530,2022-05-13,2022-05-23,2022-05-21,19.34,892.5,8,154.72,returned
49,944,113,2022-05-19,2022-06-18,,3.46,216.25,90,1540.0,not_returned
50,519,49,2022-06-08,2022-06-17,2022-06-15,2.09,76.0,7,14.63,returned
