condition_id,rental_id,assessed_condition,damage_charge,deposit_returned,inspector_notes
1,1,damaged,672.64,0,Assessed after return on 2022-02-08
2,2,good,0.0,1,Assessed after return on 2022-02-24
3,4,good,0.0,1,Assessed after return on 2022-03-01
4,5,good,0.0,1,Assessed after return on 2022-03-12
5,6,damaged,28.58,1,Assessed after return on 2022-03-27
6,7,pristine,0.0,1,Assessed after return on 2022-04-05
7,8,fair,0.0,1,Assessed after return on 2022-02-22
8,9,pristine,0.0,1,Assessed after return on 2022-02-28
9,10,pristine,0.0,1,Assessed after return on 2022-02-26
10,11,good,0.0,1,Assessed after return on 2022-03-20
11,12,good,0.0,1,Assessed after return on 2022-03-24
12,14,fair,0.0,1,Assessed after return on 2022-03-20
13,15,pristine,0.0,1,Assessed after return on 2022-04-02
14,16,fair,0.0,1,Assessed after return on 2022-03-28
15,17,damaged,108.1,1,Assessed after return on 2022-03-11
16,18,fair,0.0,1,Assessed after return on 2022-04-07
17,19,pristine,0.0,1,Assessed after return on 2022-03-21
18,20,fair,0.0,1,Assessed after return on 2022-03-23
19,21,good,0.0,1,Assessed after return on 2022-03-26
20,22,fair,0.0,1,Assessed after return on 2022-03-26
21,23,good,0.0,1,Assessed after return on 2022-05-02
22,24,fair,0.0,1,Assessed after return on 2022-05-11
23,25,fair,0.0,1,Assessed after return on 2022-05-21
24,26,good,0.0,1,Assessed after return on 2022-05-01
25,27,good,0.0,1,Assessed after return on 2022-04-18
26,28,pristine,0.0,1,Assessed after return on 2022-04-11
27,29,fair,0.0,1,Assessed after return on 2022-05-09
28,30,good,0.0,1,Assessed after return on 2022-04-15
29,31,good,0.0,1,Assessed after return on 2022-05-02
30,32,pristine,0.0,1,Assessed after return on 2022-06-05
31,33,fair,0.0,1,Assessed after return on 2022-04-17
32,34,good,0.0,1,Assessed after return on 2022-04-26
33,35,good,0.0,1,Assessed after return on 2022-04-30
34,36,good,0.0,1,Assessed after return on 2022-05-07
35,37,good,0.0,1,Assessed after return on 2022-06-13
36,38,fair,0.0,1,Assessed after return on 2022-06-08
37,40,good,0.0,1,Assessed after return on 2022-05-14
38,41,pristine,0.0,1,Assessed after return on 2022-06-06
39,42,good,0.0,1,Assessed after return on 2022-06-03
40,43,good,0.0,1,Assessed after return on 2022-05-21
41,44,pristine,0.0,1,Assessed after return on 2022-06-05
42,45,pristine,0.0,1,Assessed after return on 2022-06-08
43,46,pristine,0.0,1,Assessed after return on 2022-06-01
44,47,pristine,0.0,1,Assessed after return on 2022-05-27
45,48,good,0.0,1,Assessed after return on 2022-05-21
46,50,good,0.0,1,Assessed after return on 2022-06-15
47,51,fair,0.0,1,Assessed after return on 2022-07-03
48,52,good,0.0,1,Assessed after return on 2022-07-12
49,53,good,0.0,1,Assessed after return on 2022-07-21
50,54,good,0.0,1,Assessed after return on 2022-06-17
51,55,good,0.0,1,Assessed after return on 2022-06-14
52,56,good,0.0,1,Assessed after return on 2022-06-04
53,57,pristine,0.0,1,Assessed after return on 2022-06-16
54,58,good,0.0,1,Assessed after return on 2022-07-22
55,59,pristine,0.0,1,Assessed after return on 2022-07-30
56,60,good,0.0,1,Assessed after return on 2022-06-28
57,61,good,0.0,1,Assessed after return on 2022-07-09
58,62,pristine,0.0,1,Assessed after return on 2022-06-15
59,63,pristine,0.0,1,Assessed after return on 2022-07-11
60,64,pristine,0.0,1,Assessed after return on 2022-06-27
61,65,good,0.0,1,Assessed after return on 2022-07-04
62,66,pristine,0.0,1,Assessed after return on 2022-07-16
63,67,pristine,0.0,1,Assessed after return on 2022-07-06
64,68,good,0.0,1,Assessed after return on 2022-06-30
65,69,damaged,52.58,1,Assessed after return on 2022-06-27
66,70,good,0.0,1,Assessed after return on 2022-06-10
67,71,good,0.0,1,Assessed after return on 2022-07-11
68,72,pristine,0.0,1,Assessed after return on 2022-08-02
69,73,fair,0.0,1,Assessed after return on 2022-06-14
70,74,fair,0.0,1,Assessed after return on 2022-07-01
71,75,good,0.0,1,Assessed after return on 2022-07-23
72,77,fair,0.0,1,Assessed after return on 2022-08-06
73,78,destroyed,468.33,0,Assessed after return on 2022-08-18
74,79,pristine,0.0,1,Assessed after return on 2022-07-04
75,80,pristine,0.0,1,Assessed after return on 2022-07-10
76,81,good,0.0,1,Assessed after return on 2022-07-14
77,82,damaged,119.56,0,Assessed after return on 2022-08-05
78,83,good,0.0,1,Assessed after return on 2022-07-10
79,84,good,0.0,1,Assessed after return on 2022-08-11
80,85,good,0.0,1,Assessed after return on 2022-08-01
81,86,fair,0.0,1,Assessed after return on 2022-07-26
82,87,fair,0.0,1,Assessed after return on 2022-07-26
83,88,pristine,0.0,1,Assessed after return on 2022-07-09
84,89,good,0.0,1,Assessed after return on 2022-08-20
85,90,pristine,0.0,1,Assessed after return on 2022-09-15
86,91,pristine,0.0,1,Assessed after return on 2022-07-30
87,92,good,0.0,1,Assessed after return on 2022-07-31
88,93,pristine,0.0,1,Assessed after return on 2022-07-18
89,94,good,0.0,1,Assessed after return on 2022-07-31
90,95,good,0.0,1,Assessed after return on 2022-08-15
91,96,pristine,0.0,1,Assessed after return on 2022-08-24
92,97,pristine,0.0,1,Assessed after return on 2022-08-26
93,98,pristine,0.0,1,Assessed after return on 2022-10-13
94,100,fair,0.0,1,Assessed after return on 2022-09-07
95,101,good,0.0,1,Assessed after return on 2022-08-31
96,102,pristine,0.0,1,Assessed after return on 2022-09-17
97,103,pristine,0.0,1,Assessed after return on 2022-08-27
98,104,good,0.0,1,Assessed after return on 2022-09-22
99,105,good,0.0,1,Assessed after return on 2022-08-10
100,107,good,0.0,1,Assessed after return on 2022-09-05
101,108,pristine,0.0,1,Assessed after return on 2022-09-02
102,109,pristine,0.0,1,Assessed after return on 2022-08-30
103,110,fair,0.0,1,Assessed after return on 2022-09-15
104,111,fair,0.0,1,Assessed after return on 2022-08-10
105,112,good,0.0,1,Assessed after return on 2022-09-23
106,114,pristine,0.0,1,Assessed after return on 2022-08-13
107,115,damaged,616.17,0,Assessed after return on 2022-08-15
108,116,fair,0.0,1,Assessed after return on 2022-08-17
109,117,pristine,0.0,1,Assessed after return on 2022-08-20
110,118,good,0.0,1,Assessed after return on 2022-08-22
111,119,fair,0.0,1,Assessed after return on 2022-08-16
112,120,good,0.0,1,Assessed after return on 2022-08-09
113,121,good,0.0,1,Assessed after return on 2022-08-20
114,122,good,0.0,1,Assessed after return on 2022-09-24
115,123,fair,0.0,1,Assessed after return on 2022-10-20
116,124,good,0.0,1,Assessed after return on 2022-09-30
117,125,good,0.0,1,Assessed after return on 2022-10-21
118,126,fair,0.0,1,Assessed after return on 2022-10-11
119,127,good,0.0,1,Assessed after return on 2022-09-16
120,129,good,0.0,1,Assessed after return on 2022-09-25
121,130,pristine,0.0,1,Assessed after return on 2022-10-04
122,131,good,0.0,1,Assessed after return on 2022-09-12
123,132,good,0.0,1,Assessed after return on 2022-10-02
124,133,good,0.0,1,Assessed after return on 2022-09-12
125,135,good,0.0,1,Assessed after return on 2022-09-13
126,136,damaged,351.14,0,Assessed after return on 2022-09-13
127,137,damaged,52.01,0,Assessed after return on 2022-09-26
128,138,fair,0.0,1,Assessed after return on 2022-09-05
129,139,pristine,0.0,1,Assessed after return on 2022-09-08
130,140,damaged,34.04,1,Assessed after return on 2022-10-16
131,141,good,0.0,1,Assessed after return on 2022-10-05
132,142,fair,0.0,1,Assessed after return on 2022-10-13
133,143,good,0.0,1,Assessed after return on 2022-10-06
