product_id,original_retail_price,months_at_enrollment,months_unsold_at_comparison,discount_pct,hypothetical_discount_price,total_gross_rental_revenue,total_operational_cost,total_net_rental_revenue,n_rentals,months_on_rental,rental_vs_discount_ratio,is_rental_more_profitable,product_name,brand,category_id,category_name
1,308.54,9.9,29.5,0.6,123.42,154.65,28.52,126.13,2,1.15,1.022,1,Apple Smartphone Pro,Xiaomi,1,Smartphones
2,838.61,9.9,8.4,0.4,503.17,0.0,0.0,0.0,0,0.0,0.0,0,Samsung Smartphone Lite,Samsung,1,Smartphones
3,332.36,9.9,27.2,0.6,132.94,438.37,72.8,365.57,5,2.6,2.7499,1,Apple Smartphone Ultra,Apple,1,Smartphones
4,158.26,9.9,22.7,0.5,79.13,505.77,100.25,405.52,5,3.06,5.1247,1,OnePlus Smartphone X,Xiaomi,1,Smartphones
5,97.15,9.9,14.9,0.4,58.29,267.54,38.6,228.94,3,1.15,3.9276,1,Samsung Smartphone Plus,Apple,1,Smartphones
6,1099.81,9.9,34.5,0.7,329.94,257.36,46.89,210.47,2,0.69,0.6379,0,Apple Smartphone Lite,Samsung,1,Smartphones
7,114.07,9.9,19.0,0.5,57.03,623.91,129.45,494.46,5,2.53,8.6702,1,OnePlus Smartphone,Xiaomi,1,Smartphones
8,133.72,9.9,27.6,0.6,53.49,110.57,24.09,86.48,3,1.38,1.6168,1,Xiaomi Smartphone Pro,Apple,1,Smartphones
9,141.43,9.9,10.6,0.4,84.86,155.37,24.71,130.66,1,0.69,1.5397,1,OnePlus Smartphone Max,OnePlus,1,Smartphones
10,296.86,9.9,9.6,0.4,178.12,0.0,0.0,0.0,0,0.0,0.0,0,Xiaomi Smartphone,OnePlus,1,Smartphones
11,216.31,9.9,41.9,0.75,54.08,175.6,27.91,147.69,4,1.38,2.731,1,OnePlus Smartphone Pro,Apple,1,Smartphones
12,175.66,9.9,15.7,0.4,105.4,208.0,37.72,170.28,4,2.07,1.6156,1,Xiaomi Smartphone SE,OnePlus,1,Smartphones
13,711.72,9.9,8.2,0.4,427.03,0.0,0.0,0.0,0,0.0,0.0,0,OnePlus Smartphone,Xiaomi,1,Smartphones
14,1722.76,9.9,17.0,0.4,1033.66,578.51,123.33,455.18,3,1.38,0.4404,0,OnePlus Smartphone Max,Apple,1,Smartphones
15,419.49,9.9,27.5,0.6,167.8,487.51,82.23,405.28,5,2.83,2.4153,1,OnePlus Smartphone,OnePlus,1,Smartphones
16,417.02,9.9,28.9,0.6,166.81,338.78,50.76,288.02,5,2.6,1.7266,1,Samsung Smartphone X,Xiaomi,1,Smartphones
17,401.05,9.9,27.3,0.6,160.42,523.49,99.3,424.19,6,3.29,2.6442,1,OnePlus Smartphone Max,Apple,1,Smartphones
18,581.23,9.9,12.3,0.4,348.74,175.29,41.49,133.8,2,0.69,0.3837,0,OnePlus Smartphone Lite,Apple,1,Smartphones
19,1268.16,9.9,17.1,0.4,760.9,154.29,27.28,127.01,2,0.69,0.1669,0,Samsung Smartphone Lite,Samsung,1,Smartphones
20,763.95,9.9,20.4,0.5,381.98,531.25,110.53,420.72,5,2.07,1.1014,1,Samsung Smartphone Ultra,Samsung,1,Smartphones
21,400.61,9.9,14.5,0.4,240.37,410.76,77.88,332.88,4,2.14,1.3849,1,OnePlus Smartphone Plus,Samsung,1,Smartphones
22,1778.21,9.9,10.5,0.4,1066.93,52.52,12.61,39.91,1,0.46,0.0374,0,Samsung Smartphone Max,Xiaomi,1,Smartphones
23,508.0,9.9,47.4,0.75,127.0,200.88,40.41,160.47,4,0.92,1.2635,1,Xiaomi Smartphone,OnePlus,1,Smartphones
24,216.43,9.9,21.0,0.5,108.22,374.74,60.5,314.24,4,2.07,2.9037,1,Samsung Smartphone X,Samsung,1,Smartphones
25,111.34,9.9,15.4,0.4,66.8,157.72,31.18,126.54,3,1.84,1.8943,1,OnePlus Smartphone X,Xiaomi,1,Smartphones
26,159.51,9.9,31.9,0.7,47.85,302.39,50.45,251.94,4,1.91,5.2652,1,OnePlus Smartphone X,Xiaomi,1,Smartphones
27,389.67,9.9,21.9,0.5,194.84,354.22,65.81,288.41,3,1.91,1.4802,1,Samsung Smartphone Max,Apple,1,Smartphones
28,573.37,9.9,16.6,0.4,344.02,265.6,47.86,217.74,3,1.38,0.6329,0,OnePlus Smartphone Lite,Samsung,1,Smartphones
29,430.19,9.9,17.4,0.4,258.11,251.78,50.76,201.02,2,1.15,0.7788,0,Apple Smartphone,Samsung,1,Smartphones
30,350.9,9.9,28.1,0.6,140.36,515.85,104.48,411.37,6,3.45,2.9308,1,Apple Smartphone Plus,Samsung,1,Smartphones
31,247.27,9.9,7.6,0.4,148.36,0.0,0.0,0.0,0,0.0,0.0,0,Samsung Smartphone X,Apple,1,Smartphones
32,251.08,9.9,8.7,0.4,150.65,0.0,0.0,0.0,0,0.0,0.0,0,OnePlus Smartphone Pro,Xiaomi,1,Smartphones
33,1206.3,9.9,25.3,0.6,482.52,939.93,173.16,766.77,5,3.22,1.5891,1,OnePlus Smartphone SE,Xiaomi,1,Smartphones
34,63.76,9.9,7.4,0.4,38.26,0.0,0.0,0.0,0,0.0,0.0,0,Xiaomi Smartphone X,Apple,1,Smartphones
35,376.61,9.9,34.3,0.7,112.98,236.62,48.85,187.77,2,0.92,1.662,1,Apple Smartphone Max,Xiaomi,1,Smartphones
36,556.76,9.9,29.0,0.6,222.7,98.16,13.56,84.6,2,0.46,0.3799,0,Apple Smartphone Pro,Samsung,1,Smartphones
