rule_id,pricing_model,duration_model,experiment_group,base_daily_rate,pct_of_retail_daily,min_rental_days,max_rental_days,late_fee_per_day,security_deposit_pct,insurance_fee_pct,created_at
1,flat_rate,occasion,A,13.0,0.0063,2,7,6.39,0.19,0.013,2021-01-01
2,flat_rate,occasion,B,11.25,0.0032,2,7,7.2,0.19,0.024,2021-01-01
3,flat_rate,weekly,A,5.12,0.0064,7,28,6.99,0.13,0.014,2021-01-01
4,flat_rate,weekly,B,6.1,0.0041,7,28,5.15,0.16,0.016,2021-01-01
5,flat_rate,trimester,A,5.95,0.0035,21,90,3.75,0.15,0.019,2021-01-01
6,flat_rate,trimester,B,6.64,0.0037,21,90,5.09,0.19,0.011,2021-01-01
7,flat_rate,seasonal,A,4.32,0.0036,60,180,2.39,0.24,0.029,2021-01-01
8,flat_rate,seasonal,B,4.93,0.0041,60,180,2.59,0.2,0.019,2021-01-01
9,pct_of_retail,occasion,A,8.85,0.0055,2,7,2.21,0.24,0.015,2021-01-01
10,pct_of_retail,occasion,B,12.64,0.0047,2,7,5.12,0.18,0.014,2021-01-01
11,pct_of_retail,weekly,A,8.85,0.0066,7,28,7.64,0.23,0.022,2021-01-01
12,pct_of_retail,weekly,B,8.61,0.0039,7,28,3.18,0.11,0.017,2021-01-01
13,pct_of_retail,trimester,A,4.36,0.0046,21,90,6.97,0.15,0.016,2021-01-01
14,pct_of_retail,trimester,B,4.9,0.0041,21,90,6.81,0.11,0.03,2021-01-01
15,pct_of_retail,seasonal,A,4.32,0.0043,60,180,2.03,0.22,0.024,2021-01-01
16,pct_of_retail,seasonal,B,4.19,0.0066,60,180,2.44,0.15,0.012,2021-01-01
