product_id,category_id,product_name,brand,original_retail_price,current_depreciated_value,condition_grade,listed_date,rental_eligible_date,retailer,is_active
1,1,Isabella Oliver Bodycon Dress Slate Grey,Isabella Oliver,222.33,189.29,B,2023-01-24,2024-01-24,ASOS PT,1
2,1,Isabella Oliver Tiered Dress,Isabella Oliver,67.1,63.43,A,2024-04-11,2025-04-11,ASOS PT,1
3,1,Baukjen Tiered Dress Floral Print,Baukjen,39.86,27.64,A,2021-08-21,2022-08-21,Zara Online,1
4,1,Baukjen Linen Dress Sage Green,Baukjen,86.16,69.97,B,2022-02-28,2023-02-28,Zara Online,1
5,1,Seraphine Linen Dress,Seraphine,75.17,67.42,A,2023-10-22,2024-10-21,Zara Online,1
6,1,Seraphine Shirt Dress Burgundy,Seraphine,160.7,135.74,A,2023-06-02,2024-06-01,ASOS ES,1
7,1,H&M Mama Wrap Dress Stripe,H&M Mama,121.5,112.53,A,2024-03-06,2025-03-06,El Corte Inglés ES,1
8,1,Seraphine Midi Dress Sage Green,Seraphine,84.12,71.81,A,2022-11-28,2023-11-28,ASOS ES,1
9,1,ASOS Maternity Ruched Dress Slate Grey,ASOS Maternity,133.77,124.28,A,2024-02-13,2025-02-12,Seraphine PT,1
10,1,ASOS Maternity Smock Dress Blush,ASOS Maternity,192.08,131.43,B,2022-01-15,2023-01-15,Zara Online,1
11,1,ASOS Maternity Linen Dress Camel,ASOS Maternity,87.69,80.27,A,2024-03-12,2025-03-12,El Corte Inglés ES,1
12,1,ASOS Maternity Wrap Dress Black,ASOS Maternity,182.86,149.34,C,2022-12-25,2023-12-25,ASOS ES,1
13,1,Mamalicious Ruched Dress Stripe,Mamalicious,150.61,109.68,B,2022-04-12,2023-04-12,Zara Online,1
14,1,H&M Mama Linen Dress Blush,H&M Mama,354.24,306.06,C,2023-07-31,2024-07-30,ASOS PT,1
15,1,H&M Mama Bodycon Dress Floral Print,H&M Mama,118.85,109.98,B,2023-12-29,2024-12-28,ASOS PT,1
16,1,ASOS Maternity Ruched Dress Blush,ASOS Maternity,120.71,101.75,B,2023-04-02,2024-04-01,El Corte Inglés ES,1
17,1,H&M Mama Shirt Dress Navy,H&M Mama,210.26,179.31,A,2023-06-29,2024-06-28,ASOS ES,1
18,1,Baukjen Wrap Dress Sage Green,Baukjen,102.36,97.22,A,2024-05-15,2025-05-15,ASOS ES,1
19,1,H&M Mama Ruched Dress Burgundy,H&M Mama,48.76,40.47,C,2022-04-08,2023-04-08,Seraphine PT,1
20,1,H&M Mama Wrap Dress Stripe,H&M Mama,133.69,113.41,B,2023-04-03,2024-04-02,El Corte Inglés ES,1
21,1,Isabella Oliver Wrap Dress Stripe,Isabella Oliver,103.49,97.52,B,2024-05-26,2025-05-26,Zara Online,1
22,1,ASOS Maternity Ruched Dress Blush,ASOS Maternity,193.8,143.46,A,2023-02-04,2024-02-04,El Corte Inglés ES,1
23,1,Seraphine Wrap Dress Stripe,Seraphine,127.27,84.72,B,2021-01-14,2022-01-14,Seraphine PT,1
24,1,ASOS Maternity Tiered Dress Stripe,ASOS Maternity,86.83,55.76,B,2021-07-13,2022-07-13,ASOS ES,1
25,1,Seraphine Jersey Dress Floral Print,Seraphine,105.84,98.46,A,2024-02-19,2025-02-18,El Corte Inglés ES,1
26,1,Seraphine Linen Dress Stripe,Seraphine,76.18,64.29,C,2023-03-29,2024-03-28,El Corte Inglés ES,1
27,1,Seraphine Ruched Dress Camel,Seraphine,132.57,117.23,A,2023-09-24,2024-09-23,Seraphine PT,1
28,1,Seraphine Jersey Dress Floral Print,Seraphine,49.01,45.29,A,2024-02-01,2025-01-31,ASOS PT,1
29,1,ASOS Maternity Smock Dress Stripe,ASOS Maternity,83.84,79.6,C,2024-06-09,2025-06-09,ASOS ES,1
30,1,ASOS Maternity Wrap Dress Navy,ASOS Maternity,223.64,208.89,B,2024-05-02,2025-05-02,Zara Online,1
31,1,H&M Mama Shirt Dress Black,H&M Mama,145.63,124.88,B,2023-03-17,2024-03-16,Seraphine PT,1
32,1,H&M Mama Smock Dress Burgundy,H&M Mama,147.59,109.21,B,2021-10-25,2022-10-25,El Corte Inglés ES,1
33,1,Mamalicious Wrap Dress Blush,Mamalicious,233.51,214.1,A,2024-02-21,2025-02-20,ASOS PT,1
34,1,H&M Mama Tiered Dress Camel,H&M Mama,194.08,184.98,A,2024-06-04,2025-06-04,ASOS PT,1
35,1,ASOS Maternity Smock Dress Blush,ASOS Maternity,119.72,100.4,A,2023-04-19,2024-04-18,Seraphine PT,1
36,1,Baukjen Linen Dress Floral Print,Baukjen,62.11,52.28,A,2023-03-19,2024-03-18,ASOS PT,1
37,1,Seraphine Wrap Dress Slate Grey,Seraphine,59.73,54.41,A,2023-11-21,2024-11-20,El Corte Inglés ES,1
38,1,Seraphine Shirt Dress Stripe,Seraphine,71.98,66.02,A,2024-01-15,2025-01-14,ASOS PT,1
39,1,Isabella Oliver Ruched Dress Floral Print,Isabella Oliver,254.72,241.71,A,2024-05-16,2025-05-16,ASOS ES,1
40,1,Seraphine Bodycon Dress Camel,Seraphine,57.17,34.5,B,2020-06-20,2021-06-20,El Corte Inglés ES,1
41,1,Mamalicious Jersey Dress Slate Grey,Mamalicious,112.02,99.3,C,2023-01-31,2024-01-31,ASOS ES,1
42,1,Seraphine Wrap Dress Sage Green,Seraphine,135.63,81.68,B,2021-03-02,2022-03-02,ASOS PT,1
43,1,H&M Mama Smock Dress Burgundy,H&M Mama,251.53,232.08,A,2024-01-11,2025-01-10,Seraphine PT,1
44,1,Seraphine Linen Dress Navy,Seraphine,108.83,84.66,A,2022-06-15,2023-06-15,El Corte Inglés ES,1
45,1,Baukjen Bodycon Dress Black,Baukjen,90.65,60.07,A,2021-12-10,2022-12-10,Seraphine PT,1
46,1,H&M Mama Linen Dress Slate Grey,H&M Mama,142.21,132.2,B,2023-12-26,2024-12-25,El Corte Inglés ES,1
47,1,ASOS Maternity Jersey Dress Slate Grey,ASOS Maternity,36.66,26.51,B,2022-01-05,2023-01-05,El Corte Inglés ES,1
48,1,Seraphine Wrap Dress Blush,Seraphine,235.71,200.75,A,2023-03-29,2024-03-28,Seraphine PT,1
49,1,H&M Mama Shirt Dress,H&M Mama,235.7,156.56,A,2021-04-09,2022-04-09,Zara Online,1
50,1,H&M Mama Tiered Dress Sage Green,H&M Mama,270.61,254.31,B,2024-04-16,2025-04-16,El Corte Inglés ES,1
51,1,H&M Mama Midi Dress Ivory,H&M Mama,90.91,61.61,A,2020-05-07,2021-05-07,ASOS PT,1
52,1,Isabella Oliver Bodycon Dress Navy,Isabella Oliver,189.8,163.23,A,2023-09-12,2024-09-11,Seraphine PT,1
53,1,Seraphine Linen Dress Floral Print,Seraphine,158.4,138.69,A,2023-04-30,2024-04-29,Seraphine PT,1
54,1,Mamalicious Shirt Dress,Mamalicious,63.84,47.22,B,2022-05-07,2023-05-07,Seraphine PT,1
55,1,Seraphine Midi Dress Navy,Seraphine,36.84,27.94,A,2022-04-12,2023-04-12,El Corte Inglés ES,1
56,1,Mamalicious Wrap Dress Burgundy,Mamalicious,70.97,60.4,B,2023-01-30,2024-01-30,Seraphine PT,1
57,1,ASOS Maternity Midi Dress Burgundy,ASOS Maternity,158.9,141.92,A,2023-12-04,2024-12-03,Seraphine PT,1
58,1,Seraphine Ruched Dress Blush,Seraphine,249.52,219.97,A,2023-07-14,2024-07-13,Seraphine PT,1
59,1,Seraphine Smock Dress Camel,Seraphine,178.23,159.41,B,2023-11-03,2024-11-02,Zara Online,1
60,1,Isabella Oliver Wrap Dress Blush,Isabella Oliver,86.95,77.18,A,2023-08-03,2024-08-02,ASOS PT,1
61,1,Seraphine Jersey Dress Slate Grey,Seraphine,220.76,167.71,A,2022-07-01,2023-07-01,ASOS PT,1
62,1,Mamalicious Shirt Dress Blush,Mamalicious,168.79,154.4,A,2024-01-11,2025-01-10,El Corte Inglés ES,1
63,1,Mamalicious Midi Dress,Mamalicious,367.59,323.11,A,2023-12-01,2024-11-30,Seraphine PT,1
64,1,ASOS Maternity Wrap Dress Navy,ASOS Maternity,178.7,153.62,A,2023-06-05,2024-06-04,ASOS PT,1
