product_id,original_retail_price,months_at_enrollment,months_unsold_at_comparison,discount_pct,hypothetical_discount_price,total_gross_rental_revenue,total_operational_cost,total_net_rental_revenue,n_rentals,months_on_rental,rental_vs_discount_ratio,is_rental_more_profitable
1,222.33,12.0,23.2,0.58,93.38,501.51,76.53,424.98,6,6.9,4.5511,1
3,39.86,12.0,40.3,0.68,12.76,197.28,26.28,171.0,2,3.68,13.4013,1
4,86.16,12.0,34.1,0.68,27.57,870.52,114.23,756.29,4,7.13,27.4316,1
5,75.17,12.0,14.3,0.45,41.34,406.18,55.4,350.78,2,2.3,8.4852,1
6,160.7,12.0,19.0,0.58,67.49,607.8,83.06,524.74,4,5.75,7.7751,1
8,84.12,12.0,25.1,0.68,26.92,571.47,78.2,493.27,3,5.26,18.3236,1
10,192.08,12.0,35.5,0.68,61.47,408.28,58.85,349.43,5,6.9,5.6846,1
12,182.86,12.0,24.2,0.68,58.52,752.1,88.12,663.98,5,6.21,11.3462,1
13,150.61,12.0,32.7,0.68,48.2,128.46,18.64,109.82,4,5.52,2.2784,1
14,354.24,12.0,17.0,0.45,194.83,423.19,55.41,367.78,2,4.14,1.8877,1
15,118.85,12.0,12.1,0.45,65.37,0.0,0.0,0.0,0,0.0,0.0,0
16,120.71,12.0,21.0,0.58,50.7,520.38,82.83,437.55,4,5.06,8.6302,1
17,210.26,12.0,18.1,0.58,88.31,686.71,83.3,603.41,2,5.72,6.8329,1
19,48.76,12.0,32.8,0.68,15.6,1452.67,227.55,1225.12,5,8.51,78.5333,1
20,133.69,12.0,21.0,0.58,56.15,346.55,43.27,303.28,3,2.53,5.4012,1
22,193.8,12.0,22.9,0.58,81.4,862.72,114.31,748.41,5,8.74,9.1942,1
23,127.27,12.0,47.5,0.68,40.73,739.15,106.9,632.25,4,5.06,15.523,1
24,86.83,12.0,41.6,0.68,27.79,583.54,96.41,487.13,4,6.9,17.529,1
26,76.18,12.0,21.1,0.58,32.0,650.09,75.15,574.94,5,5.52,17.9669,1
27,132.57,12.0,15.2,0.45,72.91,339.53,51.01,288.52,1,1.84,3.9572,1
31,145.63,12.0,21.5,0.58,61.16,676.34,71.46,604.88,4,5.06,9.8901,1
32,147.59,12.0,38.2,0.68,47.23,516.16,71.53,444.63,6,9.63,9.4141,1
35,119.72,12.0,20.4,0.58,50.28,523.01,79.24,443.77,4,8.02,8.826,1
36,62.11,12.0,21.5,0.58,26.09,26.07,3.12,22.95,3,3.22,0.8796,0
37,59.73,12.0,13.3,0.45,32.85,12.1,1.94,10.16,1,1.38,0.3093,0
40,57.17,12.0,54.4,0.68,18.29,321.81,34.9,286.91,4,5.98,15.6867,1
41,112.02,12.0,23.0,0.58,47.05,1213.51,169.51,1044.0,4,5.98,22.1892,1
42,135.63,12.0,46.0,0.68,43.4,729.2,96.47,632.73,4,5.52,14.579,1
44,108.83,12.0,30.6,0.68,34.83,646.58,88.37,558.21,3,4.6,16.0267,1
45,90.65,12.0,36.7,0.68,29.01,1300.18,156.46,1143.72,6,10.12,39.425,1
46,142.21,12.0,12.2,0.45,78.22,35.23,3.43,31.8,1,1.84,0.4065,0
47,36.66,12.0,35.8,0.68,11.73,1090.57,136.34,954.23,6,8.51,81.3495,1
48,235.71,12.0,21.1,0.58,99.0,782.26,133.5,648.76,3,5.06,6.5531,1
49,235.7,12.0,44.7,0.68,75.42,822.7,102.7,720.0,5,7.13,9.5465,1
51,90.91,12.0,55.8,0.68,29.09,659.56,98.25,561.31,5,6.21,19.2956,1
52,189.8,12.0,15.6,0.45,104.39,62.65,10.76,51.89,2,2.3,0.4971,0
53,158.4,12.0,20.1,0.58,66.53,935.61,122.29,813.32,5,7.82,12.2249,1
54,63.84,12.0,31.8,0.68,20.43,1141.64,163.11,978.53,4,7.56,47.8967,1
