rental_id,product_id,customer_id,pricing_rule_id,rental_start_date,rental_end_date,expected_return_date,actual_return_date,rental_duration_days,base_rental_revenue,late_fee,insurance_fee,total_rental_revenue,operational_cost,net_rental_revenue,is_no_return,is_damaged_beyond_repair,is_late
1,1,725,11,2024-01-30,2024-02-27,2024-02-27,2024-02-27,28,41.09,0.0,0.9,41.99,5.92,36.07,0,0,0
2,1,1030,14,2024-03-05,2024-04-30,2024-04-30,2024-04-30,56,51.05,0.0,1.53,52.58,7.44,45.14,0,0,0
3,1,1801,13,2024-05-09,2024-06-20,2024-06-20,2024-06-20,42,44.43,0.0,0.71,45.14,4.91,40.23,0,1,0
4,1,235,3,2024-06-29,2024-07-27,2024-07-27,2024-07-28,28,149.84,0.0,2.1,151.94,25.57,126.37,0,0,0
5,1,1833,12,2024-08-08,2024-09-05,2024-09-05,2024-09-05,28,24.28,0.0,0.41,24.69,2.52,22.17,0,0,0
6,1,1489,4,2024-09-08,2024-10-06,2024-10-06,2024-10-06,28,182.25,0.0,2.92,185.17,30.17,155.0,0,0,0
7,3,1616,13,2022-09-01,2022-11-24,2022-11-24,2022-11-24,84,15.86,0.0,0.25,16.11,2.07,14.04,0,0,0
8,3,1187,4,2022-12-02,2022-12-30,2022-12-30,2022-12-30,28,178.32,0.0,2.85,181.17,24.21,156.96,0,0,0
9,4,1451,6,2023-03-13,2023-05-08,2023-05-08,2023-05-08,56,371.84,0.0,4.09,375.93,55.31,320.62,0,0,0
10,4,716,3,2023-06-05,2023-06-26,2023-06-26,2023-06-25,21,117.62,0.0,1.65,119.27,14.93,104.34,0,0,0
11,4,886,13,2023-06-29,2023-09-21,2023-09-21,2023-09-21,84,35.23,0.0,0.56,35.79,5.91,29.88,0,0,0
12,4,1465,5,2023-10-01,2023-11-26,2023-11-26,2023-11-26,56,333.2,0.0,6.33,339.53,38.08,301.45,0,0,0
13,5,840,5,2024-10-23,2024-12-04,2024-12-04,2024-12-04,42,249.9,0.0,4.75,254.65,29.36,225.29,0,0,0
