rental_id,product_id,condition_on_return,damage_fee,return_note
1,1,excellent,0.0,
2,1,excellent,0.0,
3,1,fair,0.0,
4,1,excellent,0.0,
5,1,fair,0.0,
6,1,good,0.0,
7,3,excellent,0.0,
8,3,good,0.0,
9,4,damaged,0.0,
10,4,excellent,0.0,
11,4,fair,0.0,
12,4,fair,0.0,
13,5,fair,0.0,
14,5,excellent,0.0,
16,6,excellent,0.0,
17,6,good,0.0,
18,6,good,0.0,
19,8,excellent,0.0,
20,8,excellent,0.0,
21,8,excellent,0.0,
22,10,excellent,0.0,
23,10,excellent,0.0,
24,10,good,0.0,
25,10,good,0.0,
26,10,excellent,0.0,
27,12,good,0.0,
28,12,good,0.0,
29,12,excellent,0.0,
30,12,good,0.0,
31,12,good,0.0,
32,13,excellent,0.0,
33,13,good,0.0,
34,13,good,0.0,
35,13,fair,0.0,
36,14,good,0.0,
37,14,excellent,0.0,
38,16,excellent,0.0,
39,16,good,0.0,
40,16,good,0.0,
41,16,excellent,0.0,
42,17,excellent,0.0,
43,17,good,0.0,
44,19,excellent,0.0,
45,19,fair,0.0,
46,19,fair,0.0,
47,19,excellent,0.0,
48,19,fair,0.0,
49,20,good,0.0,
50,20,excellent,0.0,
51,20,excellent,0.0,
52,22,excellent,0.0,
53,22,excellent,0.0,
54,22,excellent,0.0,
55,22,excellent,0.0,
56,22,excellent,0.0,
57,23,good,0.0,
58,23,excellent,0.0,
59,23,good,0.0,
60,23,good,0.0,
61,24,good,0.0,
62,24,excellent,0.0,
63,24,excellent,0.0,
64,24,excellent,0.0,
65,26,good,0.0,
66,26,good,0.0,
67,26,excellent,0.0,
68,26,good,0.0,
69,26,good,0.0,
70,27,fair,0.0,
71,31,good,0.0,
72,31,excellent,0.0,
73,31,good,0.0,
74,31,good,0.0,
75,32,fair,0.0,
76,32,excellent,0.0,
77,32,good,0.0,
78,32,good,0.0,
79,32,good,0.0,
80,32,good,0.0,
81,35,excellent,0.0,
82,35,good,0.0,
83,35,excellent,0.0,
85,36,excellent,0.0,
86,36,excellent,0.0,
87,36,excellent,0.0,
88,37,good,0.0,
89,40,fair,0.0,
90,40,good,0.0,
91,40,fair,0.0,
92,40,excellent,0.0,
93,41,good,0.0,
94,41,good,0.0,
95,41,good,0.0,
96,41,excellent,0.0,
97,42,good,0.0,
98,42,good,0.0,
99,42,good,0.0,
100,42,good,0.0,
101,44,good,0.0,
102,44,excellent,0.0,
103,44,excellent,0.0,
104,45,excellent,0.0,
105,45,excellent,0.0,
106,45,fair,0.0,
107,45,good,0.0,
108,45,good,0.0,
109,45,excellent,0.0,
110,46,good,0.0,
111,47,good,0.0,
112,47,good,0.0,
113,47,excellent,0.0,
114,47,excellent,0.0,
115,47,fair,0.0,
117,48,fair,0.0,
118,48,good,0.0,
119,48,fair,0.0,
120,49,excellent,0.0,
121,49,excellent,0.0,
122,49,good,0.0,
123,49,excellent,0.0,
124,49,excellent,0.0,
125,51,excellent,0.0,
126,51,good,0.0,
127,51,excellent,0.0,
128,51,good,0.0,
129,51,excellent,0.0,
130,52,excellent,0.0,
131,52,excellent,0.0,
132,53,good,0.0,
133,53,good,0.0,
134,53,good,0.0,
135,53,excellent,0.0,
136,53,excellent,0.0,
137,54,excellent,0.0,
138,54,excellent,0.0,
140,54,excellent,0.0,
141,55,good,0.0,
142,55,excellent,0.0,
143,55,excellent,0.0,
144,55,good,0.0,
145,55,good,0.0,
146,56,excellent,0.0,
147,56,good,0.0,
148,56,excellent,0.0,
149,56,excellent,0.0,
150,57,excellent,0.0,
151,58,fair,0.0,
152,58,good,0.0,
153,58,excellent,0.0,
154,58,excellent,0.0,
155,59,excellent,0.0,
156,59,fair,0.0,
157,60,excellent,0.0,
158,60,excellent,0.0,
159,60,excellent,0.0,
160,61,excellent,0.0,
161,61,excellent,0.0,
162,61,good,0.0,
163,63,good,0.0,
164,64,good,0.0,
165,64,good,0.0,
166,64,excellent,0.0,
167,65,excellent,0.0,
168,65,excellent,0.0,
169,65,excellent,0.0,
170,65,good,0.0,
171,70,excellent,0.0,
172,70,good,0.0,
173,70,excellent,0.0,
174,72,good,0.0,
175,72,excellent,0.0,
176,72,excellent,0.0,
177,72,excellent,0.0,
178,72,good,0.0,
179,73,fair,0.0,
180,73,excellent,0.0,
181,74,excellent,0.0,
182,74,excellent,0.0,
183,74,excellent,0.0,
184,75,good,0.0,
186,75,good,0.0,
187,76,good,0.0,
188,76,excellent,0.0,
189,76,good,0.0,
190,78,excellent,0.0,
191,78,excellent,0.0,
192,79,fair,0.0,
193,79,excellent,0.0,
194,79,fair,0.0,
195,79,good,0.0,
196,80,excellent,0.0,
197,80,excellent,0.0,
198,80,excellent,0.0,
199,80,excellent,0.0,
200,81,excellent,0.0,
201,81,fair,0.0,
202,81,good,0.0,
203,81,fair,0.0,
204,81,excellent,0.0,
205,84,good,0.0,
206,85,good,0.0,
207,85,excellent,0.0,
208,85,excellent,0.0,
209,85,good,0.0,
210,86,good,0.0,
211,86,excellent,0.0,
212,86,good,0.0,
213,86,good,0.0,
214,88,excellent,0.0,
215,88,excellent,0.0,
216,88,excellent,0.0,
217,88,good,0.0,
218,89,good,0.0,
219,89,excellent,0.0,
220,89,good,0.0,
221,89,good,0.0,
222,90,good,0.0,
223,90,good,0.0,
224,90,excellent,0.0,
225,91,good,0.0,
226,91,good,0.0,
227,94,good,0.0,
228,94,excellent,0.0,
229,94,good,0.0,
230,95,good,0.0,
231,95,excellent,0.0,
232,95,fair,0.0,
233,95,fair,0.0,
234,97,good,0.0,
235,97,good,0.0,
236,97,good,0.0,
237,97,excellent,0.0,
240,98,excellent,0.0,
241,98,good,0.0,
242,98,excellent,0.0,
243,99,fair,0.0,
244,100,good,0.0,
245,100,good,0.0,
246,100,good,0.0,
247,101,excellent,0.0,
248,101,fair,0.0,
249,101,good,0.0,
250,101,excellent,0.0,
251,101,good,0.0,
252,102,good,0.0,
253,102,good,0.0,
254,102,good,0.0,
255,103,excellent,0.0,
256,103,excellent,0.0,
257,103,excellent,0.0,
258,103,excellent,0.0,
259,103,fair,0.0,
260,104,excellent,0.0,
261,104,good,0.0,
262,104,excellent,0.0,
263,104,excellent,0.0,
264,105,good,0.0,
265,105,good,0.0,
266,105,excellent,0.0,
267,105,excellent,0.0,
268,105,excellent,0.0,
269,106,excellent,0.0,
270,106,fair,0.0,
271,107,excellent,0.0,
272,107,excellent,0.0,
273,107,good,0.0,
274,107,good,0.0,
275,109,excellent,0.0,
276,109,excellent,0.0,
277,109,excellent,0.0,
278,109,excellent,0.0,
279,109,good,0.0,
280,111,good,0.0,
281,111,excellent,0.0,
282,113,excellent,0.0,
283,113,good,0.0,
284,113,good,0.0,
285,113,excellent,0.0,
286,113,good,0.0,
287,113,good,0.0,
288,115,excellent,0.0,
289,115,excellent,0.0,
290,115,excellent,0.0,
291,118,good,0.0,
292,118,fair,0.0,
293,118,good,0.0,
294,121,good,0.0,
295,122,excellent,0.0,
296,122,good,0.0,
297,122,excellent,0.0,
298,122,excellent,0.0,
299,122,excellent,0.0,
300,124,excellent,0.0,
301,124,fair,0.0,
302,124,excellent,0.0,
303,125,good,0.0,
304,125,excellent,0.0,
305,126,excellent,0.0,
306,127,good,0.0,
307,127,good,0.0,
308,127,damaged,0.0,
309,128,excellent,0.0,
310,128,excellent,0.0,
311,128,good,0.0,
312,129,fair,0.0,
313,129,fair,0.0,
314,129,good,0.0,
315,129,good,0.0,
316,129,good,0.0,
317,131,excellent,0.0,
318,131,good,0.0,
319,131,excellent,0.0,
320,131,good,0.0,
321,132,good,0.0,
322,132,excellent,0.0,
323,133,good,0.0,
324,133,good,0.0,
325,133,good,0.0,
326,135,excellent,0.0,
327,135,excellent,0.0,
328,135,fair,0.0,
329,135,good,0.0,
330,136,excellent,0.0,
331,136,good,0.0,
332,137,good,0.0,
333,137,fair,0.0,
334,137,excellent,0.0,
335,137,good,0.0,
336,138,excellent,0.0,
337,138,excellent,0.0,
338,138,fair,0.0,
339,138,good,0.0,
340,139,excellent,0.0,
341,139,fair,0.0,
342,139,good,0.0,
343,140,good,0.0,
344,140,excellent,0.0,
345,140,good,0.0,
346,140,good,0.0,
347,143,excellent,0.0,
348,144,good,0.0,
349,144,excellent,0.0,
350,144,excellent,0.0,
351,144,good,0.0,
352,144,excellent,0.0,
353,147,excellent,0.0,
354,147,good,0.0,
355,147,excellent,0.0,
356,147,excellent,0.0,
357,149,excellent,0.0,
358,149,good,0.0,
359,149,good,0.0,
360,150,good,0.0,
361,150,excellent,0.0,
362,150,excellent,0.0,
363,150,excellent,0.0,
364,152,good,0.0,
365,152,excellent,0.0,
366,152,good,0.0,
367,152,good,0.0,
368,152,good,0.0,
369,155,excellent,0.0,
370,155,good,0.0,
371,155,good,0.0,
372,155,excellent,0.0,
373,155,good,0.0,
374,155,good,0.0,
375,156,good,0.0,
376,156,excellent,0.0,
377,156,good,0.0,
378,156,excellent,0.0,
379,157,excellent,0.0,
380,159,good,0.0,
381,159,good,0.0,
382,159,excellent,0.0,
383,159,excellent,0.0,
385,160,good,0.0,
386,160,good,0.0,
387,161,fair,0.0,
388,161,excellent,0.0,
389,161,damaged,0.0,
390,162,excellent,0.0,
391,162,excellent,0.0,
392,162,good,0.0,
393,163,good,0.0,
394,163,excellent,0.0,
395,163,excellent,0.0,
396,164,good,0.0,
397,164,good,0.0,
398,164,good,0.0,
399,164,fair,0.0,
400,164,excellent,0.0,
401,165,good,0.0,
402,165,excellent,0.0,
404,165,excellent,0.0,
405,171,good,0.0,
406,171,good,0.0,
407,171,fair,0.0,
408,171,good,0.0,
409,173,excellent,0.0,
410,173,excellent,0.0,
411,173,fair,0.0,
412,175,good,0.0,
413,175,good,0.0,
414,175,good,0.0,
415,175,fair,0.0,
416,175,good,0.0,
417,177,good,0.0,
418,177,damaged,0.0,
419,177,good,0.0,
420,177,fair,0.0,
421,178,good,0.0,
422,178,excellent,0.0,
423,178,excellent,0.0,
424,180,good,0.0,
425,180,good,0.0,
426,183,fair,0.0,
427,183,excellent,0.0,
428,183,excellent,0.0,
429,183,good,0.0,
430,184,excellent,0.0,
431,184,good,0.0,
432,184,excellent,0.0,
433,184,good,0.0,
434,186,excellent,0.0,
435,186,excellent,0.0,
436,186,good,0.0,
437,191,good,0.0,
438,192,good,0.0,
439,192,good,0.0,
440,192,fair,0.0,
441,193,good,0.0,
442,193,excellent,0.0,
443,193,excellent,0.0,
444,193,good,0.0,
445,193,excellent,0.0,
446,194,fair,0.0,
447,195,excellent,0.0,
448,195,excellent,0.0,
449,195,excellent,0.0,
450,195,excellent,0.0,
451,195,good,0.0,
452,196,excellent,0.0,
453,196,good,0.0,
454,196,fair,0.0,
455,199,good,0.0,
456,203,good,0.0,
457,203,excellent,0.0,
458,203,excellent,0.0,
459,203,fair,0.0,
460,203,excellent,0.0,
461,204,good,0.0,
462,204,excellent,0.0,
463,204,excellent,0.0,
464,205,excellent,0.0,
465,206,good,0.0,
466,206,excellent,0.0,
467,207,good,0.0,
469,207,excellent,0.0,
470,207,good,0.0,
471,208,excellent,0.0,
472,208,good,0.0,
473,208,good,0.0,
474,208,fair,0.0,
475,209,good,0.0,
476,209,good,0.0,
477,211,excellent,0.0,
478,211,excellent,0.0,
479,211,fair,0.0,
480,211,excellent,0.0,
481,212,good,0.0,
482,212,excellent,0.0,
483,212,excellent,0.0,
484,212,excellent,0.0,
485,213,excellent,0.0,
486,213,good,0.0,
487,213,good,0.0,
488,214,excellent,0.0,
489,214,good,0.0,
490,214,excellent,0.0,
491,214,excellent,0.0,
492,215,excellent,0.0,
493,215,good,0.0,
494,215,good,0.0,
495,218,good,0.0,
496,218,excellent,0.0,
497,219,excellent,0.0,
498,219,excellent,0.0,
499,222,good,0.0,
500,222,good,0.0,
501,222,excellent,0.0,
502,224,excellent,0.0,
503,224,excellent,0.0,
504,224,excellent,0.0,
505,225,good,0.0,
506,225,good,0.0,
508,226,good,0.0,
509,227,good,0.0,
510,227,good,0.0,
511,229,fair,0.0,
512,229,excellent,0.0,
513,229,excellent,0.0,
514,229,excellent,0.0,
515,230,fair,0.0,
516,230,excellent,0.0,
517,230,damaged,0.0,
518,232,excellent,0.0,
519,232,excellent,0.0,
520,232,good,0.0,
521,233,fair,0.0,
522,233,excellent,0.0,
523,234,fair,0.0,
524,234,fair,0.0,
525,235,good,0.0,
526,235,damaged,76.02,
527,236,excellent,0.0,
528,236,good,0.0,
529,237,good,0.0,
530,237,excellent,0.0,
531,237,fair,0.0,
532,238,excellent,0.0,
533,238,excellent,0.0,
534,238,fair,0.0,
535,239,excellent,0.0,
536,239,good,0.0,
537,240,fair,0.0,
538,240,excellent,0.0,
539,241,excellent,0.0,
540,241,fair,0.0,
541,242,excellent,0.0,
542,242,good,0.0,
543,243,excellent,0.0,
544,243,good,0.0,
545,243,good,0.0,
546,244,good,0.0,
547,244,good,0.0,
548,244,excellent,0.0,
549,245,good,0.0,
550,245,excellent,0.0,
551,245,good,0.0,
552,246,damaged,72.99,
553,246,fair,0.0,
554,247,excellent,0.0,
555,247,good,0.0,
556,247,fair,0.0,
557,248,excellent,0.0,
558,248,excellent,0.0,
559,248,good,0.0,
560,252,good,0.0,
561,252,good,0.0,
562,252,fair,0.0,
563,252,fair,0.0,
564,253,fair,0.0,
565,253,good,0.0,
566,253,fair,0.0,
567,253,good,0.0,
568,254,excellent,0.0,
569,254,good,0.0,
570,255,fair,0.0,
571,255,excellent,0.0,
572,255,fair,0.0,
573,257,good,0.0,
574,257,excellent,0.0,
575,259,fair,0.0,
576,259,good,0.0,
577,259,fair,0.0,
578,260,fair,0.0,
579,263,excellent,0.0,
580,263,fair,0.0,
581,263,excellent,0.0,
582,263,good,0.0,
583,264,fair,0.0,
584,264,excellent,0.0,
585,264,excellent,0.0,
586,265,good,0.0,
587,265,excellent,0.0,
588,265,fair,0.0,
589,265,excellent,0.0,
590,266,good,0.0,
591,266,good,0.0,
592,266,good,0.0,
593,266,fair,0.0,
594,267,excellent,0.0,
595,267,excellent,0.0,
596,267,fair,0.0,
597,272,fair,0.0,
598,272,excellent,0.0,
599,272,excellent,0.0,
600,272,fair,0.0,
601,274,fair,0.0,
602,274,good,0.0,
603,274,fair,0.0,
604,275,good,0.0,
605,275,excellent,0.0,
606,275,fair,0.0,
607,279,excellent,0.0,
608,279,excellent,0.0,
609,279,excellent,0.0,
610,279,good,0.0,
611,279,fair,0.0,
612,279,good,0.0,
613,280,good,0.0,
614,280,good,0.0,
615,280,good,0.0,
616,280,excellent,0.0,
617,280,good,0.0,
618,280,excellent,0.0,
619,282,excellent,0.0,
620,282,excellent,0.0,
621,284,good,0.0,
622,284,excellent,0.0,
623,284,fair,0.0,
624,284,excellent,0.0,
625,284,fair,0.0,
626,284,good,0.0,
627,285,good,0.0,
628,292,excellent,0.0,
629,292,damaged,29.31,
630,292,excellent,0.0,
631,292,good,0.0,
632,292,excellent,0.0,
633,293,excellent,0.0,
634,293,fair,0.0,
635,293,excellent,0.0,
636,293,excellent,0.0,
637,295,fair,0.0,
638,295,fair,0.0,
639,295,good,0.0,
640,296,excellent,0.0,
641,296,fair,0.0,
642,296,good,0.0,
643,296,excellent,0.0,
644,296,good,0.0,
645,297,excellent,0.0,
646,297,damaged,0.0,
647,297,good,0.0,
648,297,good,0.0,
649,299,excellent,0.0,
650,299,excellent,0.0,
651,299,excellent,0.0,
652,299,good,0.0,
653,299,excellent,0.0,
654,301,fair,0.0,
655,301,excellent,0.0,
656,301,fair,0.0,
657,302,fair,0.0,
658,302,good,0.0,
659,303,excellent,0.0,
660,303,excellent,0.0,
661,303,fair,0.0,
662,306,good,0.0,
663,307,good,0.0,
664,307,good,0.0,
665,307,good,0.0,
666,307,fair,0.0,
667,308,good,0.0,
668,308,excellent,0.0,
669,308,good,0.0,
670,308,good,0.0,
671,308,excellent,0.0,
672,309,good,0.0,
673,309,good,0.0,
674,309,good,0.0,
675,309,excellent,0.0,
676,309,excellent,0.0,
677,310,good,0.0,
678,310,fair,0.0,
679,310,excellent,0.0,
680,312,excellent,0.0,
681,312,good,0.0,
682,312,good,0.0,
683,312,damaged,0.0,
684,314,excellent,0.0,
685,314,good,0.0,
686,314,excellent,0.0,
687,314,good,0.0,
688,316,fair,0.0,
689,316,excellent,0.0,
690,316,good,0.0,
691,316,fair,0.0,
692,317,good,0.0,
693,317,good,0.0,
694,317,excellent,0.0,
695,317,excellent,0.0,
696,318,good,0.0,
697,320,excellent,0.0,
698,320,excellent,0.0,
699,320,good,0.0,
700,321,good,0.0,
701,321,good,0.0,
702,321,excellent,0.0,
703,322,excellent,0.0,
704,322,excellent,0.0,
705,322,excellent,0.0,
706,322,excellent,0.0,
